CountryName,CountryCode,Date,School closing,Stay at home requirements,ConfirmedCases,ConfirmedDeaths,StringencyIndex
Seychelles,SYC,20200426,3,2,11,0,96.43
Seychelles,SYC,20200427,3,2,11,0,96.43
Seychelles,SYC,20200428,3,2,11,0,96.43
Seychelles,SYC,20200429,3,2,11,0,96.43
Seychelles,SYC,20200430,3,2,11,0,96.43
Seychelles,SYC,20200501,3,2,11,0,96.43
Seychelles,SYC,20200502,3,2,11,0,96.43
Seychelles,SYC,20200503,3,2,11,0,96.43
Syria,SYR,20200417,3,2,33,2,88.81
Syria,SYR,20200418,3,2,38,2,88.81
Syria,SYR,20200419,3,2,38,2,88.81
Syria,SYR,20200420,3,2,39,3,88.81
Syria,SYR,20200421,3,2,39,3,88.81
Syria,SYR,20200422,3,2,42,3,88.81
Syria,SYR,20200423,3,2,42,3,85.24
Syria,SYR,20200424,3,2,42,3,85.24
Syria,SYR,20200425,3,2,42,3,85.24
Syria,SYR,20200426,3,2,42,3,85.24
Syria,SYR,20200427,3,2,43,3,85.24
Syria,SYR,20200428,3,2,43,3,85.24
Syria,SYR,20200429,3,2,43,3,85.24
Syria,SYR,20200430,3,2,43,3,85.24
Syria,SYR,20200501,3,2,43,3,85.24
Syria,SYR,20200502,3,2,44,3,85.24
Syria,SYR,20200503,3,2,44,3,85.24
Syria,SYR,20200504,3,2,44,3,85.24
Syria,SYR,20200505,3,2,44,3,85.24
Syria,SYR,20200506,3,2,44,3,85.24
Syria,SYR,20200507,3,2,45,3,85.24
Syria,SYR,20200508,3,2,45,3,85.24
Syria,SYR,20200509,3,2,47,3,85.24
Syria,SYR,20200510,3,2,47,3,85.24
Syria,SYR,20200511,3,2,47,3,85.24
Syria,SYR,20200512,3,2,47,3,85.24
Syria,SYR,20200513,3,2,47,3,85.24
Syria,SYR,20200514,3,2,48,3,85.24
Syria,SYR,20200515,3,2,48,3,85.24
Syria,SYR,20200516,3,2,50,3,85.24
Syria,SYR,20200517,3,2,51,3,85.24
Syria,SYR,20200518,3,2,58,3,85.24
Syria,SYR,20200519,3,2,58,3,85.24
Syria,SYR,20200520,3,2,58,3,85.24
Chad,TCD,20200402,0,2,7,0,40
Chad,TCD,20200403,0,2,7,0,40
Chad,TCD,20200404,0,2,7,0,40
Chad,TCD,20200405,0,2,8,0,40
Chad,TCD,20200406,0,2,9,0,40
Chad,TCD,20200407,0,2,9,0,40
Chad,TCD,20200408,0,2,9,0,40
Chad,TCD,20200409,0,2,10,0,40
Chad,TCD,20200410,0,2,11,0,40
Chad,TCD,20200411,0,2,11,0,40
Chad,TCD,20200412,0,2,11,0,40
Chad,TCD,20200413,3,2,15,0,100
Chad,TCD,20200414,3,2,23,0,100
Chad,TCD,20200415,3,2,23,0,100
Chad,TCD,20200416,3,2,27,0,100
Chad,TCD,20200417,3,2,27,0,100
Chad,TCD,20200418,3,2,33,0,100
Chad,TCD,20200419,3,2,33,0,100
Chad,TCD,20200420,3,2,33,0,100
Chad,TCD,20200421,3,2,33,0,100
Chad,TCD,20200422,3,2,34,0,100
Chad,TCD,20200423,3,2,34,0,100
Chad,TCD,20200424,3,2,40,0,100
Chad,TCD,20200425,3,2,40,0,100
Chad,TCD,20200426,3,2,40,0,100
Chad,TCD,20200427,3,2,46,0,100
Chad,TCD,20200428,3,2,46,0,100
Chad,TCD,20200429,3,2,52,2,100
Chad,TCD,20200430,3,2,52,2,100
Chad,TCD,20200501,3,2,73,5,95.24
Chad,TCD,20200502,3,2,73,5,95.24
Chad,TCD,20200503,3,2,117,10,95.24
Chad,TCD,20200504,3,2,117,10,95.24
Chad,TCD,20200505,3,2,117,10,95.24
Chad,TCD,20200506,3,2,170,17,95.24
Chad,TCD,20200507,3,2,170,17,95.24
Chad,TCD,20200508,3,2,253,27,95.24
Chad,TCD,20200509,3,2,260,28,95.24
Chad,TCD,20200510,3,2,322,31,95.24
Chad,TCD,20200511,3,2,322,31,95.24
Trinidad and Tobago,TTO,20200330,3,2,78,3,91.67
Trinidad and Tobago,TTO,20200331,3,2,85,3,91.67
Trinidad and Tobago,TTO,20200401,3,2,87,3,91.67
Trinidad and Tobago,TTO,20200402,3,2,89,5,91.67
Trinidad and Tobago,TTO,20200403,3,2,97,6,91.67
Trinidad and Tobago,TTO,20200404,3,2,100,6,91.67
Trinidad and Tobago,TTO,20200405,3,2,103,6,91.67
Trinidad and Tobago,TTO,20200406,3,2,104,7,91.67
Trinidad and Tobago,TTO,20200407,3,2,105,8,91.67
Trinidad and Tobago,TTO,20200408,3,2,107,8,91.67
Trinidad and Tobago,TTO,20200409,3,2,107,8,91.67
Trinidad and Tobago,TTO,20200410,3,2,109,8,91.67
Trinidad and Tobago,TTO,20200411,3,2,109,8,91.67
Trinidad and Tobago,TTO,20200412,3,2,112,8,91.67
Trinidad and Tobago,TTO,20200413,3,2,113,8,91.67
Trinidad and Tobago,TTO,20200414,3,2,113,8,91.67
Trinidad and Tobago,TTO,20200415,3,2,113,8,91.67
Trinidad and Tobago,TTO,20200416,3,2,114,8,91.67
Trinidad and Tobago,TTO,20200417,3,2,114,8,91.67
Trinidad and Tobago,TTO,20200418,3,2,114,8,91.67
Trinidad and Tobago,TTO,20200419,3,2,114,8,91.67
Trinidad and Tobago,TTO,20200420,3,2,114,8,91.67
Trinidad and Tobago,TTO,20200421,3,2,114,8,91.67
Trinidad and Tobago,TTO,20200422,3,2,115,8,91.67
Trinidad and Tobago,TTO,20200423,3,2,115,8,91.67
Trinidad and Tobago,TTO,20200424,3,2,115,8,91.67
Trinidad and Tobago,TTO,20200425,3,2,115,8,91.67
Trinidad and Tobago,TTO,20200426,3,2,115,8,91.67
Trinidad and Tobago,TTO,20200427,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200428,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200429,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200430,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200501,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200502,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200503,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200504,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200505,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200506,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200507,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200508,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200509,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200510,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200511,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200512,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200513,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200514,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200515,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200516,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200517,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200518,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200519,3,2,116,8,95.24
Trinidad and Tobago,TTO,20200520,3,2,116,8,95.24
Tunisia,TUN,20200320,3,2,39,0,84.52
Tunisia,TUN,20200321,3,2,54,1,91.67
Tunisia,TUN,20200322,3,2,60,1,91.67
Tunisia,TUN,20200323,3,2,75,3,91.67
Tunisia,TUN,20200324,3,2,89,3,91.67
Tunisia,TUN,20200325,3,2,114,3,91.67
Tunisia,TUN,20200326,3,2,173,5,91.67
Tunisia,TUN,20200327,3,2,173,5,91.67
Tunisia,TUN,20200328,3,2,227,6,91.67
Tunisia,TUN,20200329,3,2,227,6,91.67
Tunisia,TUN,20200330,3,2,278,8,91.67
Tunisia,TUN,20200331,3,2,312,8,91.67
Tunisia,TUN,20200401,3,2,362,9,91.67
Tunisia,TUN,20200402,3,2,394,10,91.67
Tunisia,TUN,20200403,3,2,455,13,91.67
Tunisia,TUN,20200404,3,2,455,13,91.67
Tunisia,TUN,20200405,3,2,495,18,91.67
Tunisia,TUN,20200406,3,2,553,19,91.67
Tunisia,TUN,20200407,3,2,574,22,91.67
Tunisia,TUN,20200408,3,2,596,22,91.67
Tunisia,TUN,20200409,3,2,623,23,91.67
Tunisia,TUN,20200410,3,2,643,25,91.67
Tunisia,TUN,20200411,3,2,671,25,91.67
Tunisia,TUN,20200412,3,2,685,28,91.67
Tunisia,TUN,20200413,3,2,707,31,91.67
Tunisia,TUN,20200414,3,2,726,34,91.67
Tunisia,TUN,20200415,3,2,747,34,91.67
Tunisia,TUN,20200416,3,2,780,35,91.67
Tunisia,TUN,20200417,3,2,822,37,91.67
Tunisia,TUN,20200418,3,2,864,37,91.67
Tunisia,TUN,20200419,3,2,866,37,91.67
Tunisia,TUN,20200420,3,2,879,38,91.67
Tunisia,TUN,20200421,3,2,884,38,91.67
Tunisia,TUN,20200422,3,2,901,38,91.67
Tunisia,TUN,20200423,3,2,901,38,91.67
Tunisia,TUN,20200424,3,2,918,38,91.67
Tunisia,TUN,20200425,3,2,922,38,91.67
Tunisia,TUN,20200426,3,2,939,38,91.67
Tunisia,TUN,20200427,3,2,949,38,91.67
Tunisia,TUN,20200428,3,2,967,39,91.67
Tunisia,TUN,20200429,3,2,975,40,91.67
Tunisia,TUN,20200430,3,2,980,40,91.67
Tunisia,TUN,20200501,3,2,994,40,91.67
Tunisia,TUN,20200502,3,2,998,41,91.67
Tunisia,TUN,20200503,3,2,1009,42,91.67
Tunisia,TUN,20200504,3,2,1013,42,88.1
Tunisia,TUN,20200505,3,2,1018,43,88.1
Tunisia,TUN,20200506,3,2,1022,43,88.1
Tunisia,TUN,20200507,3,2,1025,43,88.1
Tunisia,TUN,20200508,3,2,1026,44,88.1
Tunisia,TUN,20200509,3,2,1030,45,88.1
Tunisia,TUN,20200510,3,2,1032,45,88.1
Tunisia,TUN,20200511,2,2,1032,45,84.52
Tunisia,TUN,20200512,2,2,1032,45,84.52
Tunisia,TUN,20200513,2,2,1032,45,84.52
Tunisia,TUN,20200514,2,2,1032,45,84.52
Turkey,TUR,20200321,3,2,670,9,75
Turkey,TUR,20200322,3,2,947,21,75
Turkey,TUR,20200323,3,2,1236,30,75
Turkey,TUR,20200324,3,2,1529,37,79.76
Turkey,TUR,20200325,3,2,1872,44,79.76
Turkey,TUR,20200326,3,2,2433,59,79.76
Turkey,TUR,20200327,3,2,3629,75,83.33
Turkey,TUR,20200328,3,2,5698,92,91.67
Turkey,TUR,20200329,3,2,7402,108,91.67
Turkey,TUR,20200330,3,2,9217,131,91.67
Turkey,TUR,20200331,3,2,10827,168,91.67
Turkey,TUR,20200401,3,2,13531,214,91.67
Turkey,TUR,20200402,3,2,15679,277,91.67
Turkey,TUR,20200403,3,2,18135,356,91.67
Turkey,TUR,20200404,3,2,20921,425,91.67
Turkey,TUR,20200405,3,2,23934,501,91.67
Turkey,TUR,20200406,3,2,27069,574,91.67
Turkey,TUR,20200407,3,2,30217,649,91.67
Turkey,TUR,20200408,3,2,34109,725,91.67
Turkey,TUR,20200409,3,2,38226,812,91.67
Turkey,TUR,20200410,3,2,42282,908,91.67
Turkey,TUR,20200413,3,2,56956,1198,91.67
Turkey,TUR,20200414,3,2,61049,1296,91.67
Turkey,TUR,20200415,3,2,65111,1403,91.67
Turkey,TUR,20200416,3,2,69392,1518,91.67
Turkey,TUR,20200417,3,2,74193,1643,91.67
Turkey,TUR,20200420,3,2,86306,2017,91.67
Turkey,TUR,20200421,3,2,90980,2140,91.67
Turkey,TUR,20200422,3,2,95591,2259,91.67
Turkey,TUR,20200423,3,2,98674,2376,91.67
Turkey,TUR,20200424,3,2,101790,2491,91.67
Turkey,TUR,20200425,3,2,104912,2600,91.67
Turkey,TUR,20200426,3,2,107773,2706,91.67
Turkey,TUR,20200427,3,2,110130,2805,91.67
Turkey,TUR,20200428,3,2,112261,2900,91.67
Turkey,TUR,20200429,3,2,114653,2992,91.67
Turkey,TUR,20200430,3,2,117589,3081,91.67
Turkey,TUR,20200501,3,2,120204,3174,91.67
Turkey,TUR,20200502,3,2,122392,3258,91.67
Turkey,TUR,20200503,3,2,124375,3336,91.67
Turkey,TUR,20200504,3,2,126045,3397,91.67
Turkey,TUR,20200505,3,2,127659,3461,91.67
Turkey,TUR,20200506,3,2,129491,3520,91.67
Turkey,TUR,20200507,3,2,131744,3584,91.67
Turkey,TUR,20200508,3,2,133721,3641,91.67
Turkey,TUR,20200509,3,2,135569,3689,91.67
Turkey,TUR,20200510,3,2,137115,3739,91.67
Turkey,TUR,20200511,3,2,138657,3786,91.67
Turkey,TUR,20200512,3,2,139771,3841,91.67
